,batch,iteration,seg,ne,inf,lap,nframes,nobjects
0,0,0,33.3331674800138,0.728052820020821,5.06909242272377,4.876851556124166,71,15174
1,1,0,14.809651602001395,0.42705448996275663,2.0798756442964077,0.4460228029056452,42,1109
2,2,0,15.23977114999434,0.45388308202382177,2.097282493021339,0.4308106882381253,42,1030
3,3,0,13.736732634948567,0.2480324319913052,2.1101124328561127,0.32968975097173825,42,540
4,4,0,14.405926008010283,0.26942878804402426,2.0968536962755024,0.6664796980912797,42,2122
5,5,0,13.571467806992587,0.24312679003924131,2.079561993246898,0.3841891610645689,42,712
6,6,0,24.721780289022718,0.29262733802897856,3.65737087308662,1.6440670819138177,71,5056
7,7,0,16.832411036011763,0.24981774599291384,2.5026915439520963,0.5311070010066032,50,397
8,8,0,16.742279742029496,0.24418366100871935,2.55539083579788,0.3722107770736329,50,206
9,9,0,16.252141748031136,0.3135233109933324,2.310249619942624,1.195991572109051,45,3975
10,10,0,22.926753207982983,0.3799668650026433,3.4951842303271405,3.2089548701187596,65,9357
11,11,0,20.11618631304009,0.44982830598019063,3.0002767659607343,2.854462338902522,55,10097
12,0,1,33.55713328102138,0.14382803800981492,4.142627578112297,5.077491176838521,71,15174
13,1,1,13.862301593995653,0.05719269998371601,2.079776206985116,0.4855804659309797,42,1109
14,2,1,13.754178292991128,0.056568861997220665,2.0437048279563896,0.4755905116908252,42,1030
15,3,1,13.54419363901252,0.05141728901071474,2.051750114944298,0.40060691110556945,42,540
16,4,1,14.548841692041606,0.057222247996833175,2.042784301098436,0.7022250290028751,42,2122
17,5,1,13.569331844977569,0.05512866500066593,2.017818017862737,0.3923466299311258,42,712
18,6,1,24.464936209027655,0.07739145500818267,3.6247668330324814,1.6384725531097502,71,5056
19,7,1,16.833285922009964,0.05844367196550593,2.4701555228675716,0.47428712813416496,50,397
20,8,1,16.796776175964624,0.060136834043078125,2.531814427988138,0.42895739927189425,50,206
21,9,1,15.456824594992213,0.067567836958915,2.269994308880996,1.2053210410522297,45,3975
22,10,1,23.035938668996096,0.09804429701762274,3.4930468845996074,3.056292014545761,65,9357
23,11,1,20.198475265002344,0.09644152200780809,3.013822574983351,2.866168775886763,55,10097
24,0,2,33.45404415001394,0.1391127760289237,4.077590184926521,4.954431557736825,71,15174
25,1,2,13.848616576986387,0.05951250402722508,2.083834674791433,0.4724160330952145,42,1109
26,2,2,13.8604504269897,0.05718819098547101,3.815885679156054,0.49350915814284235,42,1030
27,3,2,13.788412205991335,0.05743503104895353,2.1098821830237284,0.41080875106854364,42,540
28,4,2,14.62054169998737,0.05910681502427906,2.138262301974464,0.6621574560413137,42,2122
29,5,2,13.83921075600665,0.056887002021539956,2.084249098028522,0.3882871871464886,42,712
30,6,2,24.854010362992994,0.07223200600128621,3.6576566862640902,1.6511560612125322,71,5056
31,7,2,16.954856386000756,0.05871297395788133,2.542645806155633,0.4612432790454477,50,397
32,8,2,16.836317343986593,0.05624274397268891,2.5168034831876867,0.4138501610723324,50,206
33,9,2,15.329654773988295,0.06796792999375612,2.3187889719265513,1.2152333628037013,45,3975
34,10,2,22.981676334980875,0.09129806398414075,3.528113797015976,3.1549197781132534,65,9357
35,11,2,20.56015983998077,0.10075447795679793,3.0611027432023548,2.8626830290304497,55,10097
